Product Name,Manufacturer,Manufacturer Website,Supplement Category,Serving Size,Effectiveness Rating,Number of Ingredients,Research Rating,Nutrition Label Transparency Score,Ranking within Supplement Category,Ranking within all Supplement Products,Updated Month Day,Updated Year,Manufacturer Social Media,Similarity Index,Number of Active Ingredients,Calories per Serving,Protein per Serving,Protein Percent of Calories,Protein Percent of Serving Size,Nutrition Label Fat Content Transparency Score,Fat (%),Carbohydrates (%),Protein (%),Macros details
Vintage Bright,Old School Labs,https://www.oldschoollabs.com/,Cognitive Enhancement Supplements,"2 capsules
",2.07 out of 3,6,62 ,100%,1 out of 147 (top third within category),"16 out of 4,597 (top third of all products)",July 13,2019,,,,,,,,,,,,
Focus Pro-Series,Jacked Factory,https://www.jackedfactory.com,Cognitive Enhancement Supplements,"2 capsules
",2.27 out of 3,6,54 ,100%,2 out of 147 (top third within category),"192 out of 4,597 (top third of all products)",July 25,2021,https://instagram.com/jacked_factory,,,,,,,,,,,
Transmit,Outbreak Nutrition,https://outbreaknutrition.com/,Cognitive Enhancement Supplements,"3 capsules
",2.23 out of 3,8,49 ,100%,3 out of 147 (top third within category),"195 out of 4,597 (top third of all products)",January 19,2021,https://instagram.com/outbreaknutrition,,,,,,,,,,,
Focused-AF,Steel Supplements,https://steelsupplements.com/,Cognitive Enhancement Supplements,"2 capsules
",2.03 out of 3,8,35 ,100%,4 out of 147 (top third within category),"218 out of 4,597 (top third of all products)",December 21,2020,https://instagram.com/steelsupplements,,,,,,,,,,,
MDNS,Freak Label,https://freaklabel.com/,Cognitive Enhancement Supplements,"2 capsules
",2.27 out of 3,4,60 ,0%,5 out of 147 (top third within category),"468 out of 4,597 (top third of all products)",December 31,2020,https://instagram.com/freaklabelofficial,,,,,,,,,,,
Mindful,V1 Nutra,https://v1nutra.com,Cognitive Enhancement Supplements,"2 capsules
",2.19 out of 3,7,58 ,100%,6 out of 147 (top third within category),"507 out of 4,597 (top third of all products)",February 08,2022,https://instagram.com/v1nutra,,,,,,,,,,,
Cerebral,Like A Pro Supplements,https://likeaprosupplements.com/,Cognitive Enhancement Supplements,9.6g,2.19 out of 3,10,39 ,100%,7 out of 147 (top third within category),"510 out of 4,597 (top third of all products)",May 29,2022,https://instagram.com/likeaprosupplements,,,,,,,,,,,
TB12 Perform,TB12,https://tb12sports.com,Cognitive Enhancement Supplements,"2 capsules
",2.15 out of 3,4,17 ,100%,8 out of 147 (top third within category),"531 out of 4,597 (top third of all products)",August 22,2020,https://instagram.com/tb12sports,,,,,,,,,,,
Optimus,Nustait,https://nustait.com/,Cognitive Enhancement Supplements,5.5g,2.14 out of 3,9,50 ,100%,9 out of 147 (top third within category),"543 out of 4,597 (top third of all products)",January 16,2020,,,,,,,,,,,,
Cerebrum,Live Evolved,https://www.evolvedsupps.com/,Cognitive Enhancement Supplements,8.9g,2.11 out of 3,12,34 ,100%,10 out of 147 (top third within category),"561 out of 4,597 (top third of all products)",December 01,2020,https://instagram.com/evolvedsupps,,,,,,,,,,,
