Product Name,Manufacturer,Manufacturer Website,Supplement Category,Serving Size,Effectiveness Rating,Number of Ingredients,Research Rating,Nutrition Label Transparency Score,Ranking within Supplement Category,Ranking within all Supplement Products,Updated Month Day,Updated Year,Manufacturer Social Media,Similarity Index,Number of Active Ingredients,Calories per Serving,Protein per Serving,Protein Percent of Calories,Protein Percent of Serving Size,Nutrition Label Fat Content Transparency Score,Fat (%),Carbohydrates (%),Protein (%),Macros details
Protein Creations,NutraOne,https://nutraonenutrition.com,Protein Supplements,32.7g,2.53 out of 3,,73.33 ,100%,1 out of 446 (top third within category),1 out of 4597 (top third of all products),March 24,2021,https://instagram.com/nutraone,,3,130,24.00g,74%,73%,100%,14,12,74,"Protein Creations contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  16 calories (4.00g), and protein accounts for  96 calories (24.00g)."
Whey Protein Isolate,NutraBio,https://www.nutrabio.com/,Protein Supplements,30g,2.4 out of 3,,80 ,100%,2 out of 446 (top third within category),2 out of 4597 (top third of all products),October 24,2020,https://instagram.com/nutrabio,,1,120,25.00g,83%,83%,100%,0,3,83,"Whey Protein Isolate contains 120 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein Concentrate,High Quality Nutrition,https://www.hqnutrition.ca,Protein Supplements,30g,2.4 out of 3,,80 ,100%,3 out of 446 (top third within category),3 out of 4597 (top third of all products),March 14,2021,https://instagram.com/hq.nutrition,,1,127,24.00g,76%,80%,100%,18,6,76,"Whey Protein Concentrate contains 127 calories per serving. Of that, fat accounts for 22.5 calories (2.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  96 calories (24.00g)."
Weaponized Whey Protein,Apocalypse Labz,,Protein Supplements,32.4g,2.4 out of 3,,80 ,100%,4 out of 446 (top third within category),4 out of 4597 (top third of all products),October 12,2020,https://instagram.com/apocalypselabz,,2,118,25.00g,85%,77%,100%,8,3,85,"Weaponized Whey Protein contains 118 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  100 calories (25.00g)."
REVITAPRO,Optimum EFX,https://www.optimumefx.com,Protein Supplements,26.5g,2.4 out of 3,,80 ,100%,5 out of 446 (top third within category),5 out of 4597 (top third of all products),September 06,2020,https://instagram.com/optimumefx,,1,100,23.00g,92%,87%,100%,5,0,92,"REVITAPRO contains 100 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  0 calories (0.00g), and protein accounts for  92 calories (23.00g)."
Restore,Incarnate Nutrition,https://incarnatenutrition.com,Protein Supplements,41g,2.4 out of 3,,80 ,100%,6 out of 446 (top third within category),6 out of 4597 (top third of all products),November 30,2020,https://instagram.com/incarnate_nutrition,,1,138.5,31.50g,91%,77%,100%,3,6,91,"Restore contains 138.5 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  126 calories (31.50g)."
Protein One,NutraOne,https://nutraonenutrition.com,Protein Supplements,32.3g,2.4 out of 3,,80 ,100%,7 out of 446 (top third within category),7 out of 4597 (top third of all products),March 24,2021,https://instagram.com/nutraone,,2,130,24.00g,74%,74%,100%,14,11,74,"Protein One contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  14 calories (3.50g), and protein accounts for  96 calories (24.00g)."
Ninja Gains,Ninja,https://ninjaup.com,Protein Supplements,37.6g,2.4 out of 3,,80 ,100%,8 out of 446 (top third within category),8 out of 4597 (top third of all products),November 03,2022,https://instagram.com/ninja.up,,1,140,31.00g,89%,82%,100%,0,9,89,"Ninja Gains contains 140 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  124 calories (31.00g)."
Grass Fed Whey Protein Isolate,NutraBio,https://www.nutrabio.com/,Protein Supplements,30.98g,2.4 out of 3,,80 ,100%,9 out of 446 (top third within category),9 out of 4597 (top third of all products),October 24,2020,https://instagram.com/nutrabio,,1,110,25.00g,91%,81%,100%,0,7,91,"Grass Fed Whey Protein Isolate contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Define Whey,Define Nutrition,https://definenutrition.co,Protein Supplements,32.3g,2.4 out of 3,,80 ,100%,10 out of 446 (top third within category),10 out of 4597 (top third of all products),August 29,2020,https://instagram.com/define_nutrition,,2,122,25.00g,82%,77%,100%,15,3,82,"Define Whey contains 122 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  100 calories (25.00g)."
